id;Source;GENDER;COUNTRY;COUNTRYTIME;NATION;TEAM;TEAMNATIONS;VTEAM[SQ001];VTEAM[SQ002];VTEAM[SQ003];VTEAM[SQ004];VTEAM[SQ005];VTEAM[SQ006];ROLE;ROLE[comment];CUSTOMERS;VALUESM[SQ001];VALUESM[SQ002];VALUESM[SQ003];VALUESM[SQ004];VALUESM[SQ005];VALUESM[SQ006];VALUESM[SQ007];VALUESM[SQ008];VALUESM[SQ009];VALUESM[SQ010];VALUESM[SQ011];VALUESM[SQ012];VALUESM[SQ013];VALUESM[SQ014];VALUESM[SQ015];VALUESM[SQ016];VALUESM[SQ017];VALUESM[SQ018];VALUESM[SQ019];VALUESM[SQ020];VALUESM[SQ021];VALUESM[SQ022];VALUESM[SQ023];VALUESM[SQ024];VALUESM[SQ025];VALUESM[SQ026];VALUESM[SQ027];VALUESM[SQ028];VALUESM[SQ029];VALUESM[SQ030];VALUESM[SQ031];VALUESM[SQ032];VALUESM[SQ033];VALUESM[SQ034];VALUESM[SQ035];VALUESM[SQ036];VALUESM[SQ037];VALUESM[SQ038];VALUESM[SQ039];VALUESM[SQ040];VALUESM[SQ041];VALUESM[SQ042];VALUESM[SQ043];VALUESM[SQ044];VALUESM[SQ045];VALUESM[SQ046];VALUESM[SQ047];VALUESM[SQ048];VALUESM[SQ049];VALUESM[SQ050];VALUESM[SQ051];VALUESM[SQ052];VALUESM[SQ053];VALUESM[SQ054];VALUESM[SQ055];VALUESM[SQ056];VALUESM[SQ057];VALUESF[SQ001];VALUESF[SQ002];VALUESF[SQ003];VALUESF[SQ004];VALUESF[SQ005];VALUESF[SQ006];VALUESF[SQ007];VALUESF[SQ008];VALUESF[SQ009];VALUESF[SQ010];VALUESF[SQ011];VALUESF[SQ012];VALUESF[SQ013];VALUESF[SQ014];VALUESF[SQ015];VALUESF[SQ016];VALUESF[SQ017];VALUESF[SQ018];VALUESF[SQ019];VALUESF[SQ020];VALUESF[SQ021];VALUESF[SQ022];VALUESF[SQ023];VALUESF[SQ024];VALUESF[SQ025];VALUESF[SQ026];VALUESF[SQ027];VALUESF[SQ028];VALUESF[SQ029];VALUESF[SQ030];VALUESF[SQ031];VALUESF[SQ032];VALUESF[SQ033];VALUESF[SQ034];VALUESF[SQ035];VALUESF[SQ036];VALUESF[SQ037];VALUESF[SQ038];VALUESF[SQ039];VALUESF[SQ040];VALUESF[SQ041];VALUESF[SQ042];VALUESF[SQ043];VALUESF[SQ044];VALUESF[SQ045];VALUESF[SQ046];VALUESF[SQ047];VALUESF[SQ048];VALUESF[SQ049];VALUESF[SQ050];VALUESF[SQ051];VALUESF[SQ052];VALUESF[SQ053];VALUESF[SQ054];VALUESF[SQ055];VALUESF[SQ056];VALUESF[SQ057];FREQTEAM[SQ001];FREQTEAM[SQ002];FREQTEAM[SQ003];FREQTEAM[SQ004];FREQTEAM[SQ005];FREQTEAM[SQ006];FREQTEAM[SQ007];FREQTEAM[SQ008];FREQTEAM[SQ009];FREQTEAM[SQ010];FREQTEAM[SQ011];FREQTEAM[SQ012];FREQTEAM[SQ013];FREQTEAM[SQ014];FREQTEAM[SQ015];FREQTEAM[SQ016];FREQTEAM[SQ017];FREQTEAM[SQ018];FREQTEAM[SQ019];FREQTEAM[SQ020];FREQTEAM[SQ021];FREQTEAM[SQ022];FREQTEAM[SQ023];FREQTEAM[SQ024];FREQTEAM[SQ025];FREQTEAM[SQ026];FREQTEAM[SQ027];FREQTEAM[SQ028];FREQTEAM[SQ029];FREQTEAM[SQ030];FREQTEAM[SQ031];FREQTEAM[SQ032];FREQTEAM[SQ033];FREQCLIENT[SQ001];FREQCLIENT[SQ002];FREQCLIENT[SQ003];FREQCLIENT[SQ004];FREQCLIENT[SQ005];FREQCLIENT[SQ006];FREQCLIENT[SQ007];FREQCLIENT[SQ008];FREQCLIENT[SQ009];FREQCLIENT[SQ010];FREQCLIENT[SQ011];FREQCLIENT[SQ012];FREQCLIENT[SQ013];FREQCLIENT[SQ014];FREQCLIENT[SQ015];FREQCLIENT[SQ016];FREQCLIENT[SQ017];FREQCLIENT[SQ018];FREQCLIENT[SQ019];FREQCLIENT[SQ020];FREQCLIENT[SQ021];FREQCLIENT[SQ022];FREQCLIENT[SQ023];FREQCLIENT[SQ024];FREQCLIENT[SQ025];FREQCLIENT[SQ026];FREQCLIENT[SQ027];TEAMCRIT[SQ001];TEAMCRIT[SQ002];TEAMCRIT[SQ003];TEAMCRIT[SQ004];TEAMCRIT[SQ005];TEAMCRIT[SQ006];TEAMCRIT[SQ007];TEAMCRIT[SQ008];TEAMCRIT[SQ009];TEAMCRIT[SQ010];TEAMCRIT[SQ011];TEAMCRIT[SQ012];TEAMCRIT[SQ013];TEAMCRIT[SQ014];TEAMCRIT[SQ015];TEAMCRIT[SQ016];TEAMCRIT[SQ017];TEAMCRIT[SQ018];TEAMCRIT[SQ019];TEAMCRIT[SQ020];TEAMCRIT[SQ021];TEAMCRIT[SQ022];TEAMCRIT[SQ023];TEAMCRIT[SQ024];TEAMCRIT[SQ025];TEAMCRIT[SQ026];TEAMCRIT[SQ027];TEAMCRIT[SQ028];TEAMCRIT[SQ029];TEAMCRIT[SQ030];TEAMCRIT[SQ031];TEAMCRIT[SQ032];TEAMCRIT[SQ033];CLIENTCRIT[SQ001];CLIENTCRIT[SQ002];CLIENTCRIT[SQ003];CLIENTCRIT[SQ004];CLIENTCRIT[SQ005];CLIENTCRIT[SQ006];CLIENTCRIT[SQ007];CLIENTCRIT[SQ008];CLIENTCRIT[SQ009];CLIENTCRIT[SQ010];CLIENTCRIT[SQ011];CLIENTCRIT[SQ012];CLIENTCRIT[SQ013];CLIENTCRIT[SQ014];CLIENTCRIT[SQ015];CLIENTCRIT[SQ016];CLIENTCRIT[SQ017];CLIENTCRIT[SQ018];CLIENTCRIT[SQ019];CLIENTCRIT[SQ020];CLIENTCRIT[SQ021];CLIENTCRIT[SQ022];CLIENTCRIT[SQ023];CLIENTCRIT[SQ024];CLIENTCRIT[SQ025];CLIENTCRIT[SQ026];CLIENTCRIT[SQ027];MITIGATIONS[SQ001];MITIGATIONS[SQ002];MITIGATIONS[SQ003];MITIGATIONS[SQ004];MITIGATIONS[SQ005];MITIGATIONS[SQ006];MITIGATIONS[SQ007];MITIGATIONS[SQ008];MITIGATIONS[SQ009];MITIGATIONS[SQ010];MITIGATIONS[SQ011];MITIGATIONS[SQ012];MITIGATIONS[SQ013];MITIGATIONS[SQ014];MITIGATIONS[SQ015];MITIGATIONS[SQ016];MITIGATIONS[SQ017];MITIGATIONS[SQ018];MITIGATIONS[SQ019];MITIGATIONS[SQ020];MITIGATIONS[SQ021];MITIGATIONS[SQ022];MITIGATIONS[SQ023];MITIGATIONS[SQ024];MITIGATIONS[SQ025];MITIGATIONS[SQ026];MITIGATIONS[SQ027];MITIGATIONS[SQ028];MITIGATIONS[SQ029];MITIGATIONS[SQ030];MITIGATIONS[SQ031];MITIGATIONS[SQ032];MITIGATIONS[SQ033];MITIMEASURES[SQ001];MITIMEASURES[SQ002];MITIMEASURES[SQ003];MITIMEASURES[SQ004];MITIMEASURES[SQ005];MITIMEASURES[SQ006];MITIMEASURES[SQ007];MITIMEASURES[SQ008];MITIMEASURES[SQ009];MITIMEASURES[SQ010];MITIMEASURES[SQ011];MITIMEASURES[SQ012];MITIMEASURES[SQ013];MITIMEASURES[SQ014];MITIMEASURES[SQ015];MITIMEASURES[SQ016];MITIMEASURES[SQ017];MITIMEASURES[SQ018];MITIMEASURES[SQ019];MITIMEASURES[SQ020];MITIMEASURES[SQ021];MITIMEASURES[SQ022];MITIMEASURES[SQ023];MITIMEASURES[SQ024];MITIMEASURES[SQ025];MITIMEASURES[SQ026];MITIMEASURES[SQ027];MITIMEASURES[SQ028];MITIMEASURES[SQ029];MITIMEASURES[SQ030];MITIMEASURES[SQ031];MITIMEASURES[SQ032];MITIMEASURES[SQ033];ADDTEAM;ADDCLIENT;FEEDBACK;
7;External;Him/He;Taiwan;2;Ukrainian;11;UK, Taiwanese, Spanish, Chinese ;No;Yes;Yes;Yes;Yes;No;Product Manager;;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;External;Him/He;United Kingdom;2 years;British;6;All British;No;No;No;Yes;Yes;No;Developer;;No;Very much like me;Very much like me;Very much like me;A little like me;Like me;Like me;A little like me;Very much like me;Not like me;Very much like me;Very much like me;Somewhat like me;Very much like me;Very much like me;A little like me;Very much like me;Very much like me;A little like me;Very much like me;Very much like me;A little like me;Not like me;Very much like me;Like me;Very much like me;Very much like me;Very much like me;Somewhat like me;Somewhat like me;Very much like me;A little like me;Very much like me;Not like me at all;Very much like me;Very much like me;Very much like me;Like me;A little like me;Very much like me;A little like me;Like me;Not like me;Very much like me;Not like me at all;Somewhat like me;Very much like me;Very much like me;Very much like me;Like me;Very much like me;A little like me;Very much like me;Somewhat like me;A little like me;Very much like me;Very much like me;Somewhat like me;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rarely;Rarely;Sometimes;Rarely;Sometimes;Never;Often;Often;Never;Never;Never;Often;Often;Rarely;Never;Never;Often;Sometimes;Rarely;Often;Never;Sometimes;Never;Never;Rarely;Never;Never;Never;Never;Often;Never;Never;Never;;;;;;;;;;;;;;;;;;;;;;;;;;;;Little problematic;Not problematic;Not problematic;Not problematic;Problematic;Not problematic;Little problematic;Not problematic;Not problematic;Not problematic;Not problematic;Problematic;Little problematic;Little problematic;Not problematic;Not problematic;Problematic;Highly problematic;Problematic;Little problematic;Not problematic;Not problematic;Not problematic;Not problematic;Little problematic;Not problematic;Not problematic;Not problematic;Not problematic;Little problematic;Not problematic;Not problematic;Not problematic;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;External;Him/He;France;5;French;20;French;No;No;No;Yes;Yes;No;Developer;;No;Like me;Somewhat like me;Somewhat like me;Very much like me;Very much like me;Like me;Like me;Like me;Like me;Somewhat like me;Very much like me;Not like me at all;Very much like me;Very much like me;Like me;Very much like me;Very much like me;Not like me at all;Like me;Not like me at all;Somewhat like me;Like me;Like me;A little like me;Very much like me;Like me;Like me;A little like me;Very much like me;Very much like me;Somewhat like me;Not like me;Not like me at all;Very much like me;Not like me;Like me;Very much like me;Very much like me;Very much like me;Not like me at all;Not like me at all;Like me;Somewhat like me;Not like me at all;Very much like me;Somewhat like me;Somewhat like me;Like me;Very much like me;Somewhat like me;Very much like me;Very much like me;Somewhat like me;Not like me;Somewhat like me;Very much like me;Very much like me;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Very often;Often;Often;Very often;Very often;Often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Often;Rarely;Very often;Very often;Very often;Very often;Very often;Rarely;Often;Rarely;Often;Rarely;Rarely;Never;;Often;Often;Often;Often;;;;;;;;;;;;;;;;;;;;;;;;;;;;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;Highly problematic;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes;Yes;Yes;Yes;Yes;Yes;I don't know;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;I don't know;Yes;Yes;No;No;No;No;No;No;No;Yes;I don't know;I don't know;I don't know;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;External;Him/He;France;3.5;French;6;French;No;No;No;No;No;No;Developer;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;External;Him/He;Lithuania;4;Lithuanian;20;Lithuanian, Danish, Indinian, Polish;Yes;Yes;No;Yes;Yes;No;Developer;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;External;Him/He;;;;;;;;;;;;;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;External;Him/He;Germany;6;german;14;Mazedonian, Vietnamese, Bulgarian, German, Pakistani, Afghan, Italian, Brazilian, Indian;No;Yes;Yes;Yes;Yes;No;Scrum Master;;Yes;Like me;Not like me;Very much like me;Somewhat like me;Very much like me;Somewhat like me;Like me;Like me;Like me;Like me;Very much like me;Not like me;Somewhat like me;Very much like me;A little like me;Like me;Like me;Not like me at all;Very much like me;Not like me;Like me;Like me;Very much like me;Somewhat like me;Very much like me;Somewhat like me;Very much like me;Like me;Not like me at all;A little like me;Not like me;Somewhat like me;Not like me at all;Very much like me;Not like me at all;Like me;Very much like me;Very much like me;A little like me;Not like me;Not like me;Not like me at all;Like me;Not like me;Somewhat like me;Somewhat like me;Like me;Like me;Like me;Not like me at all;Somewhat like me;Very much like me;A little like me;Not like me;Like me;Like me;Like me;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Often;Sometimes;Sometimes;Sometimes;Never;Rarely;Sometimes;Never;Never;Never;Sometimes;Never;Often;Often;Rarely;Often;Very often;Rarely;Very often;Often;Often;Never;Never;Never;Very often;Sometimes;Never;Never;Rarely;Sometimes;Often;Often;Sometimes;Very Often;Often;Often;Often;Often;Often;Very Often;Often;Often;Very Often;Often;Very Often;Very Often;Sometimes;Very Often;Rarely;Very Often;Sometimes;Sometimes;Often;Often;Very Often;Often;Sometimes;Often;Never;Very Often;Problematic;Problematic;Little problematic;Little problematic;Not problematic;Not problematic;Little problematic;Not problematic;Not problematic;Not problematic;Little problematic;Not problematic;Problematic;Problematic;Not problematic;Little problematic;Highly problematic;Little problematic;Highly problematic;Highly problematic;Problematic;Not problematic;Not problematic;Not problematic;Highly problematic;Little problematic;Not problematic;Not problematic;Not problematic;Problematic;Problematic;Highly problematic;Problematic;Highly problematic;Highly problematic;Highly problematic;Little problematic;Little problematic;Highly problematic;Highly problematic;Problematic;Problematic;Highly problematic;Problematic;Highly problematic;Highly problematic;Problematic;Highly problematic;Not problematic;Problematic;Little problematic;Not problematic;Problematic;Little problematic;Problematic;Problematic;Problematic;Problematic;Problematic;Problematic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;External;Him/He;Germany;11;German;8;German, Polish, Senegalese, Chinese;No;No;No;No;Yes;Yes;Developer;;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;External;Him/He;USA;28;USA;5;USA, Germany, Poland;No;Yes;Yes;Yes;Yes;Yes;Developer;;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;External;Him/He;Germany;8;German;5;German;No;No;Yes;Yes;Yes;No;Developer;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
